"Cluster","HPCA","Blueprint","Final_Annotation"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","NK_cell","NK cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","NK_cell","CD8+ T-cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"9","T_cells","CD8+ T-cells","C9-TAM"
"10","T_cells","NK cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"6","NK_cell","NK cells","C6-NK_activated"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"12","Monocyte","Monocytes","C12-Progenitor_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"12","Monocyte","Monocytes","C12-Progenitor_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","CD8+ T-cells","C8-Transit_Amplifying_Cell"
"6","Tissue_stem_cells","Fibroblasts","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"10","Epithelial_cells","CD8+ T-cells","C10-Goblet_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"9","T_cells","CD8+ T-cells","C9-TAM"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"5","NK_cell","CD8+ T-cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","Epithelial_cells","Epithelial cells","C6-NK_activated"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"5","NK_cell","CD8+ T-cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"5","Epithelial_cells","Epithelial cells","C5-CD14_Myeloid_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","HSC","C4-Plasma_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"5","NK_cell","CD8+ T-cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"5","NK_cell","CD8+ T-cells","C5-CD14_Myeloid_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"2","Epithelial_cells","Epithelial cells","C2-NK"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"9","T_cells","CD8+ T-cells","C9-TAM"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","NK_cell","NK cells","C6-NK_activated"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","Epithelial_cells","Epithelial cells","C6-NK_activated"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"6","Smooth_muscle_cells","Fibroblasts","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"5","NK_cell","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"6","Epithelial_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"9","T_cells","CD8+ T-cells","C9-TAM"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","NK_cell","CD8+ T-cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"6","Epithelial_cells","HSC","C6-NK_activated"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"9","T_cells","CD8+ T-cells","C9-TAM"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"5","NK_cell","CD8+ T-cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"9","T_cells","CD8+ T-cells","C9-TAM"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"9","T_cells","CD8+ T-cells","C9-TAM"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"9","T_cells","CD8+ T-cells","C9-TAM"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"12","Monocyte","Monocytes","C12-Progenitor_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"12","Macrophage","Macrophages","C12-Progenitor_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"12","Monocyte","Monocytes","C12-Progenitor_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
